pais_codigo_iso3,pais_nombre,dimension,indicador_nombre,anio,periodo,valor,unidad_medida,fuente_oficial,fecha_extraccion
CHL,Chile,Economía,Inflación Anual (IPC acumulado),2021,Anual,7.2,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Inflación Anual (IPC acumulado),2022,Anual,12.8,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Inflación Anual (IPC acumulado),2023,Anual,3.9,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Inflación Anual (IPC acumulado),2024,Anual,4.2,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Variación Anual del PIB Real,2018,Anual,4.0,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Variación Anual del PIB Real,2019,Anual,0.8,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Variación Anual del PIB Real,2020,Anual,-6.1,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Variación Anual del PIB Real,2021,Anual,11.7,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Variación Anual del PIB Real,2022,Anual,2.4,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Variación Anual del PIB Real,2023,Anual,0.2,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Economía,Variación Anual del PIB Real,2024,Anual,2.3,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Educación,Gasto Público en Educación (% del PIB),2022,Anual,5.4,% del PIB,CEPALSTAT,2026-09-10
CHL,Chile,Educación,Gasto Público en Educación (% del PIB),2023,Anual,5.3,% del PIB,CEPALSTAT,2026-09-10
CHL,Chile,Educación,Tasa de Finalización de Educación Secundaria,2020,Anual,87.5,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Educación,Tasa de Finalización de Educación Secundaria,2021,Anual,88.0,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Educación,Tasa de Finalización de Educación Secundaria,2022,Anual,88.5,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Educación,Tasa de Finalización de Educación Secundaria,2023,Anual,89.1,Porcentaje (%),CEPALSTAT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2015,Anual,6.2,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2016,Anual,6.5,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2017,Anual,6.7,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2018,Anual,7.2,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2019,Anual,7.2,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2020,Anual,10.7,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2021,Anual,8.8,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2022,Anual,7.9,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2023,Anual,8.7,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Desocupación Total (% Fuerza de Trabajo),2024,Anual,8.5,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Ocupación / Empleo,2018,Anual,58.5,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Ocupación / Empleo,2019,Anual,58.2,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Ocupación / Empleo,2020,Anual,50.8,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Ocupación / Empleo,2021,Anual,53.6,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Ocupación / Empleo,2022,Anual,55.8,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Ocupación / Empleo,2023,Anual,56.5,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Empleo,Tasa de Ocupación / Empleo,2024,Anual,56.8,Porcentaje (%),ILOSTAT - OIT,2026-09-10
CHL,Chile,Población,Población Total,2018,Anual,18.7,Millones de hab.,CEPALSTAT,2026-09-10
CHL,Chile,Población,Población Total,2020,Anual,19.1,Millones de hab.,CEPALSTAT,2026-09-10
CHL,Chile,Población,Población Total,2022,Anual,19.5,Millones de hab.,CEPALSTAT,2026-09-10
