pais_codigo_iso3,pais_nombre,sector,ocupacion_id,ocupacion_nombre,codigo_ciuo08_oit,nivel_demanda,tendencia_crecimiento_estimada,habilidades_clave,fuentes_oficiales_validadas,contexto_pais,fecha_actualizacion
URY,Uruguay,Tecnología,OCUP_01,Desarrollador de Software y Aplicaciones,2512,Muy Alta,+18.5% anual,"Python, JavaScript, FastAPI, React, SQL, Git","CUTI (Uruguay), ACTI / SENCE (Chile), Cessi / Subsecretaría de Economía del Conocimiento (Argentina)",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Tecnología,OCUP_02,Ingeniero de Datos y Machine Learning,2511,Muy Alta,+24.0% anual,"Pipelines ETL, MLOps, PyTorch, Pandas, Power BI, SQL",ILOSTAT / CEPAL / Ministerios de Ciencia y Tecnología,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Tecnología,OCUP_03,Especialista en Ciberseguridad y Redes,2529,Alta,+15.2% anual,"Seguridad de Infraestructura, ISO 27001, Ethical Hacking, Cloud Security","AGESIC (Uruguay), CSIRT Nacional (Chile), CERT.ar (Argentina)",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Tecnología,OCUP_04,Arquitecto Cloud y DevOps,2522,Muy Alta,+21.0% anual,"Docker, Kubernetes, AWS/Azure, CI/CD, Terraform",ILOSTAT / Reportes Sectoriales TI,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Salud,OCUP_05,Médico General y Especialista,2211,Alta,+6.5% anual,"Diagnóstico Clínico, Telemedicina, Gestión de Historias Clínicas Electrónicas","MSP (Uruguay), MINSAL / DEIS (Chile), Ministerio de Salud (Argentina)",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Salud,OCUP_06,Profesional de Enfermería y Cuidados Críticos,2221,Muy Alta,+9.8% anual,"Atención de Emergencias, Monitoreo Biomédico, Cuidados de Tercera Edad","INE / Ministerios de Salud de URY, CHL y ARG",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Salud,OCUP_07,Bioquímico y Farmacéutico Clínico,2262,Media-Alta,+7.2% anual,"Análisis Clínico, Ensayos Farmacológicos, Biología Molecular",Institutos de Salud Pública / ANMAT / ISP / MSP,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Salud,OCUP_08,Técnico en Diagnóstico por Imágenes y Bioinformática,3211,Alta,+11.4% anual,"Operación de Resonancia/Tomografía, Procesamiento Digital de Imágenes Médicas",ILOSTAT / Asociaciones Médicas Regionales,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Energía,OCUP_09,Ingeniero en Energías Renovables (Eólica / Solar),2149,Muy Alta,+16.8% anual,"Diseño de Parques Eólicos/Solares, Simulación Energética, SCADA","MIEM / UTE (Uruguay), Ministerio de Energía (Chile), Secretaría de Energía (Argentina)",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Energía,OCUP_10,"Ingeniero de Operaciones de Petróleo, Gas y Minería de Transición",2146,Alta,+8.9% anual,"Extracción No Convencional, Minería de Litio/Cobre, Gestión Ambiental","SERNAGEOMIN (Chile), Secretaría de Minería (Argentina), ANCAP (Uruguay)",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Energía,OCUP_11,Técnico en Redes Eléctricas Inteligentes (Smart Grids),3113,Alta,+12.0% anual,"Telemetría, Distribución Eléctrica de Alta/Media Tensión, Automatización","Entes Reguladores de Energía (URSEA, CNE, ENRE)",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Energía,OCUP_12,Auditor y Consultor en Eficiencia Energética,2149,Media-Alta,+14.3% anual,"ISO 50001, Huella de Carbono, Optimización Térmica e Industrial",Agencias de Sostenibilidad Energética / CEPAL,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Turismo,OCUP_13,Administrador de Servicios Hoteleros y Experiencia de Huésped,1411,Media-Alta,+7.5% anual,"Revenue Management, PMS Hoteleros, Gestión de Hospitalidad, Inglés/Portugués","Mintur (Uruguay), Sernatur (Chile), Ministerio de Turismo y Deportes (Argentina)",Alta Especialización en Servicios Globales,2026-09-10
